你猜,猜到有奖哦	你的职业是什么？	那我可就猜不出了	1
三个月的时候压力就很大,我现在都习惯了	三条狗，你压力很大吗？	嗯,我老公说我太辛苦了,我都快疯掉了,每天都是带着三条狗上班	0
我也23了，你哪年的？	你知道我多大了吗？	不知道，怎么了？	0
不会啊，我已经拔了四颗了	你喝了多少啤酒？	没喝酒啊，就拔了两颗智齿	0
我喜欢听陈奕迅的	你喜欢听谁的歌？	没有特别喜欢的歌手,都听	0
还行吧,一个月能挣一万左右	一个月挣多少钱？	你自己开店还是给别人打工	1
喜欢，我也喜欢在夜晚散步。	你喜欢在一天中的什么时候散步？	晚上11点左右，下午5点左右。	0
那就来吧!我在北京等你!	你知道我最喜欢的城市是什么吗？	不知道!但是我知道我喜欢的人在哪里!	0
不是,因为他对我好,他是一个值得我付出的人	天哪，你和老板在一起是因为钱吗？	他是我老板,我是他员工,我们没有金钱关系	0
我叫小亮，你呢？	负责调查的人叫什么名字？	我不知道啊，我也是刚来的!	0
博美是不是很粘人啊,	你知道波美叫什么名字吗？	波美是什么	0
我也喜欢吃!	我什么时候吃？	你想吃什么？	0
我也喜欢看安妮的书!	你知道我读了五遍谁的书吗？	不知道，我只看过她的《梦里花落知多少》	0
我今年25岁了，你呢？	太好了。你今年几岁？	我今年22岁了，比你大一岁。	0
我也是学生啊!	是啊，我还是学员呢，你在做什么劳作呢？	我在上班啊!你呢？	0
哦哦，我也是在北京上学，现在在北京工作	你知道我母亲的国籍是什么吗？	不知道，你告诉我吧	0
我是自己在家里做生意的	那可不，不乐观还怎么过活，你有劳作吗？	当然了,我有自己的店铺,有我的网店和实体店	0
你说的是哪方面的	当你不明白的时候你会怎么做？	我会想办法去了解	0
现在在家帮忙开个小店,卖点衣服,一个月也就挣个3块钱	你一个月能挣多少元？	你教教我吧!我也想学学	1
我做销售的,你呢?	嗯	我做的是金融行业的销售	0
我的两个娃现在也都两岁零两个月了,真希望能像你说的那样	最小的女儿什么时候出生？	明年,你是做什么的啊?	0
那你现在是在哪个城市呢？	你知道我现在在哪里被录取吗？	不知道啊，你不是在北京吗？	0
